Year,River,Species,Escapement_Count,Count_Type,Expansion
1996,Ford Arm Lake,Coho Salmon,2500,Weir/Mark-Recapture,Unexpanded
1997,Ford Arm Lake,Coho Salmon,4718,Weir/Mark-Recapture,Unexpanded
1998,Ford Arm Lake,Coho Salmon,7049,Weir/Mark-Recapture,Unexpanded
1999,Ford Arm Lake,Coho Salmon,3800,Weir/Mark-Recapture,Unexpanded
2000,Ford Arm Lake,Coho Salmon,2304,Weir/Mark-Recapture,Unexpanded
2001,Ford Arm Lake,Coho Salmon,2209,Weir/Mark-Recapture,Unexpanded
2002,Ford Arm Lake,Coho Salmon,7109,Weir/Mark-Recapture,Unexpanded
2003,Ford Arm Lake,Coho Salmon,6789,Weir/Mark-Recapture,Unexpanded
2004,Ford Arm Lake,Coho Salmon,3539,Weir/Mark-Recapture,Unexpanded
2005,Ford Arm Lake,Coho Salmon,4257,Weir/Mark-Recapture,Unexpanded
2006,Ford Arm Lake,Coho Salmon,4737,Weir/Mark-Recapture,Unexpanded
2007,Ford Arm Lake,Coho Salmon,2567,Weir/Mark-Recapture,Unexpanded
2008,Ford Arm Lake,Coho Salmon,5173,Weir/Mark-Recapture,Unexpanded
2009,Ford Arm Lake,Coho Salmon,2181,Weir/Mark-Recapture,Unexpanded
2010,Ford Arm Lake,Coho Salmon,1610,Weir/Mark-Recapture,Unexpanded
2011,Ford Arm Lake,Coho Salmon,1908,Weir/Mark-Recapture,Unexpanded
2012,Ford Arm Lake,Coho Salmon,2282,Weir/Mark-Recapture,Unexpanded
2013,Ford Arm Lake,Coho Salmon,1573,Weir/Mark-Recapture,Unexpanded
2014,Ford Arm Lake,Coho Salmon,3025,Weir/Mark-Recapture,Unexpanded
2015,Ford Arm Lake,Coho Salmon,3281,Weir/Mark-Recapture,Unexpanded
2016,Ford Arm Lake,Coho Salmon,NA,NA,NA
2017,Ford Arm Lake,Coho Salmon,NA,NA,NA
2018,Ford Arm Lake,Coho Salmon,NA,NA,NA
2019,Ford Arm Lake,Coho Salmon,NA,NA,NA
1972,Sitka Survey Index,Coho Salmon,NA,NA,NA
1973,Sitka Survey Index,Coho Salmon,NA,NA,NA
1974,Sitka Survey Index,Coho Salmon,NA,NA,NA
1975,Sitka Survey Index,Coho Salmon,NA,NA,NA
1976,Sitka Survey Index,Coho Salmon,NA,NA,NA
1977,Sitka Survey Index,Coho Salmon,NA,NA,NA
1978,Sitka Survey Index,Coho Salmon,NA,NA,NA
1979,Sitka Survey Index,Coho Salmon,NA,NA,NA
1980,Sitka Survey Index,Coho Salmon,NA,NA,NA
1981,Sitka Survey Index,Coho Salmon,NA,NA,NA
1982,Sitka Survey Index,Coho Salmon,1545,Survey,Unexpanded
1983,Sitka Survey Index,Coho Salmon,457,Survey,Unexpanded
1984,Sitka Survey Index,Coho Salmon,2063,Survey,Unexpanded
1985,Sitka Survey Index,Coho Salmon,1246,Survey,Unexpanded
1986,Sitka Survey Index,Coho Salmon,702,Survey,Unexpanded
1987,Sitka Survey Index,Coho Salmon,293,Survey,Unexpanded
1988,Sitka Survey Index,Coho Salmon,403,Survey,Unexpanded
1989,Sitka Survey Index,Coho Salmon,576,Survey,Unexpanded
1990,Sitka Survey Index,Coho Salmon,566,Survey,Unexpanded
1991,Sitka Survey Index,Coho Salmon,1510,Survey,Unexpanded
1992,Sitka Survey Index,Coho Salmon,1899,Survey,Unexpanded
1993,Sitka Survey Index,Coho Salmon,1716,Survey,Unexpanded
1994,Sitka Survey Index,Coho Salmon,1965,Survey,Unexpanded
1995,Sitka Survey Index,Coho Salmon,1487,Survey,Unexpanded
1996,Sitka Survey Index,Coho Salmon,1451,Survey,Unexpanded
1997,Sitka Survey Index,Coho Salmon,809,Survey,Unexpanded
1998,Sitka Survey Index,Coho Salmon,1242,Survey,Unexpanded
1999,Sitka Survey Index,Coho Salmon,776,Survey,Unexpanded
2000,Sitka Survey Index,Coho Salmon,803,Survey,Unexpanded
2001,Sitka Survey Index,Coho Salmon,1515,Survey,Unexpanded
2002,Sitka Survey Index,Coho Salmon,1868,Survey,Unexpanded
2003,Sitka Survey Index,Coho Salmon,1101,Survey,Unexpanded
2004,Sitka Survey Index,Coho Salmon,1124,Survey,Unexpanded
2005,Sitka Survey Index,Coho Salmon,1668,Survey,Unexpanded
2006,Sitka Survey Index,Coho Salmon,2647,Survey,Unexpanded
2007,Sitka Survey Index,Coho Salmon,1066,Survey,Unexpanded
2008,Sitka Survey Index,Coho Salmon,1117,Survey,Unexpanded
2009,Sitka Survey Index,Coho Salmon,1156,Survey,Unexpanded
2010,Sitka Survey Index,Coho Salmon,1273,Survey,Unexpanded
2011,Sitka Survey Index,Coho Salmon,2222,Survey,Unexpanded
2012,Sitka Survey Index,Coho Salmon,1157,Survey,Unexpanded
2013,Sitka Survey Index,Coho Salmon,1414,Survey,Unexpanded
2014,Sitka Survey Index,Coho Salmon,2161,Survey,Unexpanded
2015,Sitka Survey Index,Coho Salmon,2244,Survey,Unexpanded
2016,Sitka Survey Index,Coho Salmon,2943,Survey,Unexpanded
2017,Sitka Survey Index,Coho Salmon,1280,Survey,Unexpanded
2018,Sitka Survey Index,Coho Salmon,1502,Survey,Unexpanded
2019,Sitka Survey Index,Coho Salmon,1480,Survey,Unexpanded
1972,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1973,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1974,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1975,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1976,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1977,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1978,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1979,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1980,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1981,Hugh Smith Lake,Coho Salmon,NA,NA,NA
1982,Hugh Smith Lake,Coho Salmon,2144,Weir,Unexpanded
1983,Hugh Smith Lake,Coho Salmon,1487,Weir,Unexpanded
1984,Hugh Smith Lake,Coho Salmon,1407,Weir,Unexpanded
1985,Hugh Smith Lake,Coho Salmon,903,Weir,Unexpanded
1986,Hugh Smith Lake,Coho Salmon,1782,Weir,Unexpanded
1987,Hugh Smith Lake,Coho Salmon,1117,Weir,Unexpanded
1988,Hugh Smith Lake,Coho Salmon,513,Weir,Unexpanded
1989,Hugh Smith Lake,Coho Salmon,433,Weir,Unexpanded
1990,Hugh Smith Lake,Coho Salmon,870,Weir,Unexpanded
1991,Hugh Smith Lake,Coho Salmon,1836,Weir,Unexpanded
1992,Hugh Smith Lake,Coho Salmon,1426,Weir,Unexpanded
1993,Hugh Smith Lake,Coho Salmon,832,Weir,Unexpanded
1994,Hugh Smith Lake,Coho Salmon,1753,Weir,Unexpanded
1995,Hugh Smith Lake,Coho Salmon,1781,Weir,Unexpanded
1996,Hugh Smith Lake,Coho Salmon,950,Weir,Unexpanded
1997,Hugh Smith Lake,Coho Salmon,732,Weir,Unexpanded
1998,Hugh Smith Lake,Coho Salmon,983,Weir,Unexpanded
1999,Hugh Smith Lake,Coho Salmon,1246,Weir,Unexpanded
2000,Hugh Smith Lake,Coho Salmon,600,Weir,Unexpanded
2001,Hugh Smith Lake,Coho Salmon,1580,Weir,Unexpanded
2002,Hugh Smith Lake,Coho Salmon,3291,Weir,Unexpanded
2003,Hugh Smith Lake,Coho Salmon,1510,Weir,Unexpanded
2004,Hugh Smith Lake,Coho Salmon,840,Weir,Unexpanded
2005,Hugh Smith Lake,Coho Salmon,1732,Weir,Unexpanded
2006,Hugh Smith Lake,Coho Salmon,891,Weir,Unexpanded
2007,Hugh Smith Lake,Coho Salmon,1244,Weir,Unexpanded
2008,Hugh Smith Lake,Coho Salmon,1741,Weir,Unexpanded
2009,Hugh Smith Lake,Coho Salmon,2281,Weir,Unexpanded
2010,Hugh Smith Lake,Coho Salmon,2878,Weir,Unexpanded
2011,Hugh Smith Lake,Coho Salmon,2137,Weir,Unexpanded
2012,Hugh Smith Lake,Coho Salmon,1908,Weir,Unexpanded
2013,Hugh Smith Lake,Coho Salmon,3048,Weir,Unexpanded
2014,Hugh Smith Lake,Coho Salmon,4110,Weir,Unexpanded
2015,Hugh Smith Lake,Coho Salmon,956,Weir,Unexpanded
2016,Hugh Smith Lake,Coho Salmon,948,Weir,Unexpanded
2017,Hugh Smith Lake,Coho Salmon,1266,Weir,Unexpanded
2018,Hugh Smith Lake,Coho Salmon,619,Weir,Unexpanded
2019,Hugh Smith Lake,Coho Salmon,1235,Weir,Unexpanded
1972,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1973,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1974,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1975,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1976,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1977,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1978,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1979,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1980,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1981,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1982,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1983,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1984,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1985,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1986,Ketchikan Survey Index,Coho Salmon,NA,NA,NA
1987,Ketchikan Survey Index,Coho Salmon,4792,Survey (Aerial),Unexpanded
1988,Ketchikan Survey Index,Coho Salmon,5007,Survey (Aerial),Unexpanded
1989,Ketchikan Survey Index,Coho Salmon,6761,Survey (Aerial),Unexpanded
1990,Ketchikan Survey Index,Coho Salmon,3444,Survey (Aerial),Unexpanded
1991,Ketchikan Survey Index,Coho Salmon,5721,Survey (Aerial),Unexpanded
1992,Ketchikan Survey Index,Coho Salmon,7017,Survey (Aerial),Unexpanded
1993,Ketchikan Survey Index,Coho Salmon,7270,Survey (Aerial),Unexpanded
1994,Ketchikan Survey Index,Coho Salmon,8690,Survey (Aerial),Unexpanded
1995,Ketchikan Survey Index,Coho Salmon,8627,Survey (Aerial),Unexpanded
1996,Ketchikan Survey Index,Coho Salmon,8831,Survey (Aerial),Unexpanded
1997,Ketchikan Survey Index,Coho Salmon,5025,Survey (Aerial),Unexpanded
1998,Ketchikan Survey Index,Coho Salmon,7095,Survey (Aerial),Unexpanded
1999,Ketchikan Survey Index,Coho Salmon,8038,Survey (Aerial),Unexpanded
2000,Ketchikan Survey Index,Coho Salmon,8634,Survey (Aerial),Unexpanded
2001,Ketchikan Survey Index,Coho Salmon,11267,Survey (Aerial),Unexpanded
2002,Ketchikan Survey Index,Coho Salmon,12223,Survey (Aerial),Unexpanded
2003,Ketchikan Survey Index,Coho Salmon,11899,Survey (Aerial),Unexpanded
2004,Ketchikan Survey Index,Coho Salmon,9904,Survey (Aerial),Unexpanded
2005,Ketchikan Survey Index,Coho Salmon,14840,Survey (Aerial),Unexpanded
2006,Ketchikan Survey Index,Coho Salmon,6901,Survey (Aerial),Unexpanded
2007,Ketchikan Survey Index,Coho Salmon,4316,Survey (Aerial),Unexpanded
2008,Ketchikan Survey Index,Coho Salmon,16752,Survey (Aerial),Unexpanded
2009,Ketchikan Survey Index,Coho Salmon,8710,Survey (Aerial),Unexpanded
2010,Ketchikan Survey Index,Coho Salmon,4563,Survey (Aerial),Unexpanded
2011,Ketchikan Survey Index,Coho Salmon,5098,Survey (Aerial),Unexpanded
2012,Ketchikan Survey Index,Coho Salmon,11960,Survey (Aerial),Unexpanded
2013,Ketchikan Survey Index,Coho Salmon,11295,Survey (Aerial),Unexpanded
2014,Ketchikan Survey Index,Coho Salmon,16675,Survey (Aerial),Unexpanded
2015,Ketchikan Survey Index,Coho Salmon,10128,Survey (Aerial),Unexpanded
2016,Ketchikan Survey Index,Coho Salmon,13420,Survey (Aerial),Unexpanded
2017,Ketchikan Survey Index,Coho Salmon,11557,Survey (Aerial),Unexpanded
2018,Ketchikan Survey Index,Coho Salmon,13764,Survey (Aerial),Unexpanded
2019,Ketchikan Survey Index,Coho Salmon,7916,Survey (Aerial),Unexpanded
1972,Tawah Creek,Coho Salmon,3000,,Unexpanded
1973,Tawah Creek,Coho Salmon,1978,,Unexpanded
1974,Tawah Creek,Coho Salmon,2500,,Unexpanded
1975,Tawah Creek,Coho Salmon,800,,Unexpanded
1976,Tawah Creek,Coho Salmon,1200,,Unexpanded
1977,Tawah Creek,Coho Salmon,3000,,Unexpanded
1978,Tawah Creek,Coho Salmon,2200,,Unexpanded
1979,Tawah Creek,Coho Salmon,3250,,Unexpanded
1980,Tawah Creek,Coho Salmon,3200,,Unexpanded
1981,Tawah Creek,Coho Salmon,5793,,Unexpanded
1982,Tawah Creek,Coho Salmon,7100,,Unexpanded
1983,Tawah Creek,Coho Salmon,5950,,Unexpanded
1984,Tawah Creek,Coho Salmon,4200,,Unexpanded
1985,Tawah Creek,Coho Salmon,3300,,Unexpanded
1986,Tawah Creek,Coho Salmon,3300,,Unexpanded
1987,Tawah Creek,Coho Salmon,5000,,Unexpanded
1988,Tawah Creek,Coho Salmon,1600,,Unexpanded
1989,Tawah Creek,Coho Salmon,1490,,Unexpanded
1990,Tawah Creek,Coho Salmon,9460,,Unexpanded
1991,Tawah Creek,Coho Salmon,975,,Unexpanded
1992,Tawah Creek,Coho Salmon,4235,,Unexpanded
1993,Tawah Creek,Coho Salmon,5436,,Unexpanded
1994,Tawah Creek,Coho Salmon,6000,,Unexpanded
1995,Tawah Creek,Coho Salmon,2642,,Unexpanded
1996,Tawah Creek,Coho Salmon,4030,,Unexpanded
1997,Tawah Creek,Coho Salmon,2550,,Unexpanded
1998,Tawah Creek,Coho Salmon,NA,,Unexpanded
1999,Tawah Creek,Coho Salmon,NA,,Unexpanded
2000,Tawah Creek,Coho Salmon,1572,,Unexpanded
2001,Tawah Creek,Coho Salmon,3190,,Unexpanded
2002,Tawah Creek,Coho Salmon,8093,,Unexpanded
2003,Tawah Creek,Coho Salmon,5907,,Unexpanded
2004,Tawah Creek,Coho Salmon,2214,,Unexpanded
2005,Tawah Creek,Coho Salmon,1241,,Unexpanded
2006,Tawah Creek,Coho Salmon,1156,,Unexpanded
2007,Tawah Creek,Coho Salmon,1751,,Unexpanded
2008,Tawah Creek,Coho Salmon,NA,,Unexpanded
2009,Tawah Creek,Coho Salmon,3581,,Unexpanded
2010,Tawah Creek,Coho Salmon,2393,,Unexpanded
2011,Tawah Creek,Coho Salmon,1221,,Unexpanded
2012,Tawah Creek,Coho Salmon,NA,,Unexpanded
2013,Tawah Creek,Coho Salmon,2593,,Unexpanded
2014,Tawah Creek,Coho Salmon,3555,,Unexpanded
2015,Tawah Creek,Coho Salmon,2015,,Unexpanded
2016,Tawah Creek,Coho Salmon,746,,Unexpanded
2017,Tawah Creek,Coho Salmon,1455,,Unexpanded
2018,Tawah Creek,Coho Salmon,2211,,Unexpanded
2019,Tawah Creek,Coho Salmon,1866,,Unexpanded
1972,Situk River,Coho Salmon,5100,,Unexpanded
1973,Situk River,Coho Salmon,1719,,Unexpanded
1974,Situk River,Coho Salmon,4260,,Unexpanded
1975,Situk River,Coho Salmon,4500,,Unexpanded
1976,Situk River,Coho Salmon,3280,,Unexpanded
1977,Situk River,Coho Salmon,3750,,Unexpanded
1978,Situk River,Coho Salmon,3850,,Unexpanded
1979,Situk River,Coho Salmon,7000,,Unexpanded
1980,Situk River,Coho Salmon,8100,,Unexpanded
1981,Situk River,Coho Salmon,8430,,Unexpanded
1982,Situk River,Coho Salmon,9180,,Unexpanded
1983,Situk River,Coho Salmon,5300,,Unexpanded
1984,Situk River,Coho Salmon,14000,,Unexpanded
1985,Situk River,Coho Salmon,6490,,Unexpanded
1986,Situk River,Coho Salmon,3162,,Unexpanded
1987,Situk River,Coho Salmon,2000,,Unexpanded
1988,Situk River,Coho Salmon,11000,,Unexpanded
1989,Situk River,Coho Salmon,3900,,Unexpanded
1990,Situk River,Coho Salmon,1630,,Unexpanded
1991,Situk River,Coho Salmon,NA,,Unexpanded
1992,Situk River,Coho Salmon,13820,,Unexpanded
1993,Situk River,Coho Salmon,10703,,Unexpanded
1994,Situk River,Coho Salmon,21960,,Unexpanded
1995,Situk River,Coho Salmon,NA,,Unexpanded
1996,Situk River,Coho Salmon,NA,,Unexpanded
1997,Situk River,Coho Salmon,9780,,Unexpanded
1998,Situk River,Coho Salmon,NA,,Unexpanded
1999,Situk River,Coho Salmon,NA,,Unexpanded
2000,Situk River,Coho Salmon,NA,,Unexpanded
2001,Situk River,Coho Salmon,5030,,Unexpanded
2002,Situk River,Coho Salmon,40000,,Unexpanded
2003,Situk River,Coho Salmon,6009,,Unexpanded
2004,Situk River,Coho Salmon,10284,,Unexpanded
2005,Situk River,Coho Salmon,2514,,Unexpanded
2006,Situk River,Coho Salmon,7950,,Unexpanded
2007,Situk River,Coho Salmon,5763,,Unexpanded
2008,Situk River,Coho Salmon,NA,,Unexpanded
2009,Situk River,Coho Salmon,5814,,Unexpanded
2010,Situk River,Coho Salmon,11195,,Unexpanded
2011,Situk River,Coho Salmon,3652,,Unexpanded
2012,Situk River,Coho Salmon,3007,,Unexpanded
2013,Situk River,Coho Salmon,14853,,Unexpanded
2014,Situk River,Coho Salmon,8226,,Unexpanded
2015,Situk River,Coho Salmon,7062,,Unexpanded
2016,Situk River,Coho Salmon,6177,,Unexpanded
2017,Situk River,Coho Salmon,4122,,Unexpanded
2018,Situk River,Coho Salmon,6198,,Unexpanded
2019,Situk River,Coho Salmon,10381,,
1972,Tsiu River,Coho Salmon,NA,NA,NA
1973,Tsiu River,Coho Salmon,30000,,Unexpanded
1974,Tsiu River,Coho Salmon,15000,,Unexpanded
1975,Tsiu River,Coho Salmon,8150,,Unexpanded
1976,Tsiu River,Coho Salmon,30000,,Unexpanded
1977,Tsiu River,Coho Salmon,25000,,Unexpanded
1978,Tsiu River,Coho Salmon,40000,,Unexpanded
1979,Tsiu River,Coho Salmon,25000,,Unexpanded
1980,Tsiu River,Coho Salmon,18000,,Unexpanded
1981,Tsiu River,Coho Salmon,20000,,Unexpanded
1982,Tsiu River,Coho Salmon,40000,,Unexpanded
1983,Tsiu River,Coho Salmon,16500,,Unexpanded
1984,Tsiu River,Coho Salmon,30000,,Unexpanded
1985,Tsiu River,Coho Salmon,52350,,Unexpanded
1986,Tsiu River,Coho Salmon,14100,,Unexpanded
1987,Tsiu River,Coho Salmon,8500,,Unexpanded
1988,Tsiu River,Coho Salmon,16000,,Unexpanded
1989,Tsiu River,Coho Salmon,38000,,Unexpanded
1990,Tsiu River,Coho Salmon,16800,,Unexpanded
1991,Tsiu River,Coho Salmon,16600,,Unexpanded
1992,Tsiu River,Coho Salmon,30800,,Unexpanded
1993,Tsiu River,Coho Salmon,18500,,Unexpanded
1994,Tsiu River,Coho Salmon,55000,,Unexpanded
1995,Tsiu River,Coho Salmon,30000,,Unexpanded
1996,Tsiu River,Coho Salmon,19000,,Unexpanded
1997,Tsiu River,Coho Salmon,22000,,Unexpanded
1998,Tsiu River,Coho Salmon,12000,,Unexpanded
1999,Tsiu River,Coho Salmon,NA,,Unexpanded
2000,Tsiu River,Coho Salmon,12000,,Unexpanded
2001,Tsiu River,Coho Salmon,17000,,Unexpanded
2002,Tsiu River,Coho Salmon,31000,,Unexpanded
2003,Tsiu River,Coho Salmon,35850,,Unexpanded
2004,Tsiu River,Coho Salmon,NA,,Unexpanded
2005,Tsiu River,Coho Salmon,16600,,Unexpanded
2006,Tsiu River,Coho Salmon,14500,,Unexpanded
2007,Tsiu River,Coho Salmon,14000,,Unexpanded
2008,Tsiu River,Coho Salmon,25200,,Unexpanded
2009,Tsiu River,Coho Salmon,28000,,Unexpanded
2010,Tsiu River,Coho Salmon,11000,,Unexpanded
2011,Tsiu River,Coho Salmon,21000,,Unexpanded
2012,Tsiu River,Coho Salmon,10500,,Unexpanded
2013,Tsiu River,Coho Salmon,47000,,Unexpanded
2014,Tsiu River,Coho Salmon,27000,,Unexpanded
2015,Tsiu River,Coho Salmon,19500,,Unexpanded
2016,Tsiu River,Coho Salmon,31000,,Unexpanded
2017,Tsiu River,Coho Salmon,38000,,Unexpanded
2018,Tsiu River,Coho Salmon,24336,,Unexpanded
2019,Tsiu River,Coho Salmon,NA,,
